Date,Daily Screen Time (min),Late Night,Morning,Afternoon,Evening,Overall Music Time
06-04-2025,120,30–45,15–30,0–15,45–60,160
07-04-2025,180,15–30,30–45,30–45,30–45,50
08-04-2025,230,30–45,30–45,45–60,15–30,60
09-04-2025,170,15–30,30–45,30–45,15–30,150
10-04-2025,120,0–15,30–45,15–30,45–60,10
11-04-2025,180,15–30,15–30,30–45,45–60,320
12-04-2025,250,15–30,15–30,30–45,45–60,10
20-04-2025,190,0–15,30–45,45–60,30–45,130
21-04-2025,240,15–30,30–45,30–45,45–60,190
22-04-2025,170,15–30,30–45,30–45,30–45,50
23-04-2025,80,0–15,30–45,30–45,0–15,90
24-04-2025,170,15–30,0–15,45–60,15–30,50
25-04-2025,140,15–30,30–45,30–45,45–60,30
26-04-2025,260,30–45,30–45,30–45,45–60,361
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
